figure,layer,attribute,count,pct_of_syntenic
C,Confirmed 1:1 structural attributes,Exact 1:1,15508.0,77.67593288254446
C,Confirmed 1:1 structural attributes,Gene boundary changed,4285.0,21.462559479088405
C,Confirmed 1:1 structural attributes,UTR added,1940.0,9.717004758327072
C,Confirmed 1:1 structural attributes,UTR lost,2.0,0.010017530678687703
C,Confirmed 1:1 structural attributes,UTR exon gained,1206.0,6.040570999248685
C,Confirmed 1:1 structural attributes,UTR exon removed,770.0,3.8567493112947657
C,Confirmed 1:1 structural attributes,UTR refined,1778.0,8.905584773353368
C,Confirmed 1:1 structural attributes,Coding exon gain,320.0,1.6028049085900324
C,Confirmed 1:1 structural attributes,Coding exon loss,1076.0,5.3894315051339845
C,Confirmed 1:1 structural attributes,Exon boundary refined,762.0,3.816679188580015
C,Confirmed 1:1 structural attributes,CDS changed,1792.0,8.975707488104183
C,Confirmed 1:1 structural attributes,CDS boundary refined,36.0,0.18031555221637866
C,Confirmed 1:1 structural attributes,Isoform changed,0.0,0.0
