figure,layer,attribute,count,pct_of_syntenic
C,Confirmed 1:1 structural attributes,Exact 1:1,50854.0,52.80898876404494
C,Confirmed 1:1 structural attributes,Gene boundary changed,43122.0,44.77974620449023
C,Confirmed 1:1 structural attributes,UTR added,13299.0,13.810255664707471
C,Confirmed 1:1 structural attributes,UTR lost,796.0,0.8266007601403976
C,Confirmed 1:1 structural attributes,UTR exon gained,7125.0,7.398907557789363
C,Confirmed 1:1 structural attributes,UTR exon removed,3959.0,4.111196494215871
C,Confirmed 1:1 structural attributes,UTR refined,34352.0,35.672599638621776
C,Confirmed 1:1 structural attributes,Coding exon gain,3854.0,4.002159961785291
C,Confirmed 1:1 structural attributes,Coding exon loss,10676.0,11.08641924027498
C,Confirmed 1:1 structural attributes,Exon boundary refined,26628.0,27.651664624395107
C,Confirmed 1:1 structural attributes,CDS changed,21085.0,21.895574155226484
C,Confirmed 1:1 structural attributes,CDS boundary refined,222.0,0.23053438285322644
C,Confirmed 1:1 structural attributes,Isoform changed,9023.0,9.369872686867847
