figure,layer,attribute,count,pct_of_syntenic
C,Confirmed 1:1 structural attributes,Exact 1:1,17415.0,53.620912617772035
C,Confirmed 1:1 structural attributes,Gene boundary changed,11144.0,34.31245766364924
C,Confirmed 1:1 structural attributes,UTR added,5872.0,18.07993103023585
C,Confirmed 1:1 structural attributes,UTR lost,64.0,0.1970564689943962
C,Confirmed 1:1 structural attributes,UTR exon gained,2263.0,6.967793583348729
C,Confirmed 1:1 structural attributes,UTR exon removed,880.0,2.7095264486729476
C,Confirmed 1:1 structural attributes,UTR refined,6541.0,20.1397869326929
C,Confirmed 1:1 structural attributes,Coding exon gain,785.0,2.4170207525093907
C,Confirmed 1:1 structural attributes,Coding exon loss,3413.0,10.508652010591785
C,Confirmed 1:1 structural attributes,Exon boundary refined,6538.0,20.130549910708787
C,Confirmed 1:1 structural attributes,CDS changed,6213.0,19.12987252909662
C,Confirmed 1:1 structural attributes,CDS boundary refined,34.0,0.10468624915327299
C,Confirmed 1:1 structural attributes,Isoform changed,6863.0,21.131227292320958
