species,state,section,metric,value
Artemisia_annua,before,mrna,Number of gene,54347.0
Artemisia_annua,before,mrna,Number of mrna,54347.0
Artemisia_annua,before,mrna,Number of mrnas with utr both sides,42199.0
Artemisia_annua,before,mrna,Number of mrnas with at least one utr,50189.0
Artemisia_annua,before,mrna,Number of cds,54347.0
Artemisia_annua,before,mrna,Number of exon,226160.0
Artemisia_annua,before,mrna,Number of five_prime_utr,45872.0
Artemisia_annua,before,mrna,Number of three_prime_utr,46516.0
Artemisia_annua,before,mrna,Number of exon in cds,199653.0
Artemisia_annua,before,mrna,Number of exon in five_prime_utr,61431.0
Artemisia_annua,before,mrna,Number of exon in three_prime_utr,57463.0
Artemisia_annua,before,mrna,Number of intron in cds,145306.0
Artemisia_annua,before,mrna,Number of intron in exon,171813.0
Artemisia_annua,before,mrna,Number of intron in five_prime_utr,15559.0
Artemisia_annua,before,mrna,Number of intron in three_prime_utr,10947.0
Artemisia_annua,before,mrna,Number gene overlapping,1.0
Artemisia_annua,before,mrna,Number of single exon gene,17013.0
Artemisia_annua,before,mrna,Number of single exon mrna,17013.0
Artemisia_annua,before,mrna,mean mrnas per gene,1.0
Artemisia_annua,before,mrna,mean cdss per mrna,1.0
Artemisia_annua,before,mrna,mean exons per mrna,4.2
Artemisia_annua,before,mrna,mean five_prime_utrs per mrna,0.8
Artemisia_annua,before,mrna,mean three_prime_utrs per mrna,0.9
Artemisia_annua,before,mrna,mean exons per cds,3.7
Artemisia_annua,before,mrna,mean exons per five_prime_utr,1.3
Artemisia_annua,before,mrna,mean exons per three_prime_utr,1.2
Artemisia_annua,before,mrna,mean introns in cdss per mrna,2.7
Artemisia_annua,before,mrna,mean introns in exons per mrna,3.2
Artemisia_annua,before,mrna,mean introns in five_prime_utrs per mrna,0.3
Artemisia_annua,before,mrna,mean introns in three_prime_utrs per mrna,0.2
Artemisia_annua,before,mrna,Total gene length (bp),189393358.0
Artemisia_annua,before,mrna,Total mrna length (bp),189393358.0
Artemisia_annua,before,mrna,Total cds length (bp),52988195.0
Artemisia_annua,before,mrna,Total exon length (bp),107335831.0
Artemisia_annua,before,mrna,Total five_prime_utr length (bp),24292906.0
Artemisia_annua,before,mrna,Total three_prime_utr length (bp),30054730.0
Artemisia_annua,before,mrna,Total intron length per cds (bp),62130730.0
Artemisia_annua,before,mrna,Total intron length per exon (bp),82057527.0
Artemisia_annua,before,mrna,Total intron length per five_prime_utr (bp),12152022.0
Artemisia_annua,before,mrna,Total intron length per three_prime_utr (bp),7771883.0
Artemisia_annua,before,mrna,mean gene length (bp),3485.0
Artemisia_annua,before,mrna,mean mrna length (bp),3485.0
Artemisia_annua,before,mrna,mean cds length (bp),975.0
Artemisia_annua,before,mrna,mean exon length (bp),475.0
Artemisia_annua,before,mrna,mean five_prime_utr length (bp),530.0
Artemisia_annua,before,mrna,mean three_prime_utr length (bp),646.0
Artemisia_annua,before,mrna,mean cds piece length (bp),265.0
Artemisia_annua,before,mrna,mean five_prime_utr piece length (bp),395.0
Artemisia_annua,before,mrna,mean three_prime_utr piece length (bp),523.0
Artemisia_annua,before,mrna,mean intron in cds length (bp),428.0
Artemisia_annua,before,mrna,mean intron in exon length (bp),478.0
Artemisia_annua,before,mrna,mean intron in five_prime_utr length (bp),781.0
Artemisia_annua,before,mrna,mean intron in three_prime_utr length (bp),710.0
Artemisia_annua,before,mrna,median gene length (bp),2676.0
Artemisia_annua,before,mrna,median mrna length (bp),2676.0
Artemisia_annua,before,mrna,median cds length (bp),146.0
Artemisia_annua,before,mrna,median exon length (bp),189.0
Artemisia_annua,before,mrna,median five_prime_utr length (bp),168.0
Artemisia_annua,before,mrna,median three_prime_utr length (bp),283.0
Artemisia_annua,before,mrna,median cds piece length (bp),146.0
Artemisia_annua,before,mrna,median five_prime_utr piece length (bp),168.0
Artemisia_annua,before,mrna,median three_prime_utr piece length (bp),283.0
Artemisia_annua,before,mrna,median intron in cds length (bp),140.0
Artemisia_annua,before,mrna,median intron in exon length (bp),153.0
